,Event,max,min,avg,pct
0,AI,57.94,3.954,10.414,14.10%
1,ComponentTickTime/None/BehaviorTreeComponent,0.0,0.0,0.0,0.00%
2,Exclusive/GameThread/AIPerception,2.793,0.449,0.888,1.20%
3,Exclusive/GameThread/Pathfinding,15.924,0.0,0.398,0.54%
4,ComponentTickTime/PathFollowingComponent/BP_Pal_AICBase_C/PathFollowingComponent,0.201,0.01,0.036,0.05%
5,ComponentTickTime/PawnActionsComponent/BP_Pal_AICBase_C/PawnActionsComponent,0.02,0.0,0.0,0.00%
6,ComponentTickTime/SPMonsterAdvancedPathFollowingComponent/BP_Pal_AICBase_C/SPMonsterAdvancedPathFollowingComponent,2.241,0.111,0.497,0.67%
7,ActorTickTime/SP_PalAIController/BP_Pal_AICBase_C,0.278,0.1,0.152,0.21%
8,SPGameplay/SPLuaTickable/_SP.DS.SPGameDSSOCAITaskManager,1.364,0.011,0.057,0.08%
9,SPGameplay/SPLuaTickable/_SP.DS.SPPalAITickManager,0.049,0.007,0.012,0.02%
10,SPGameplay/SPLuaDiscreteTask/SPSOCAICarryTask,0.048,0.0,0.003,0.00%
11,ComponentTickTime/BehaviorTreeComponent/BP_Pal_AICBase_C/BehaviorTreeComponent,55.864,2.594,8.37,11.34%
12,,,,,
13,Navmesh,2.13,0.036,0.241,0.33%
14,Exclusive/GameThread/NavigationBuild,1.915,0.031,0.227,0.31%
15,ActorTickTime/AbstractNavData,0.045,0.001,0.002,0.00%
16,ActorTickTime/SPRecastNavMesh,1.815,0.002,0.012,0.02%
17,,,,,
18,Movement,39.422,4.116,7.476,10.13%
19,SPGameplay/GameThread/SPCharacterMovement,39.422,4.116,7.476,10.13%
20,,,,,
21,Character,4.329,0.593,0.94,1.27%
22,ActorTickTime/SPGameCharacterBase/BP_SPGameCharacter_C,1.805,0.358,0.501,0.68%
23,ComponentTickTime/SPClimbComponent/BP_SPGameCharacter_C/SPClimbComponent,0.189,0.023,0.054,0.07%
24,ComponentTickTime/SPClimbControlComponent/BP_SPGameCharacter_C/SPClimbControlComponent,1.163,0.021,0.038,0.05%
25,ComponentTickTime/SPGameCharSprintComponent/BP_SPGameCharacter_C/SPGameCharSprintComponent,3.462,0.016,0.153,0.21%
